alvo,gestora,rho,half_life_meses,mu
pos_usd,ARX Investimentos,0.838,3.9,10452
pos_usd,AZ Quest Investimentos,0.905,7,35135
pos_usd,Atmos Capital,0.538,1.1,9451
pos_usd,BB,0.761,2.5,119660
pos_usd,BNP Paribas,0.672,1.7,24016
pos_usd,BTG Pactual,0.741,2.3,42698
pos_usd,Bogari Capital,0.553,1.2,662
pos_usd,Bradesco,0.784,2.9,188063
pos_usd,Caixa,0.91,7.4,43970
pos_usd,Claritas Investimentos,0.833,3.8,9762
pos_usd,Constellation Asset Management,0.547,1.1,7319
pos_usd,Credit Suisse,0.585,1.3,38026
pos_usd,Daycoval Asset Management,0.799,3.1,1340
pos_usd,Forpus Capital,0.084,0.3,-200
pos_usd,Guepardo Investimentos,1.005,,-168491
pos_usd,Gávea Investimentos,0.815,3.4,-5425
pos_usd,Ibiuna Investimentos,0.738,2.3,8059
pos_usd,Itaú,0.839,4,527127
pos_usd,JGP,0.732,2.2,-11454
pos_usd,Julius Baer Family Office,0.763,2.6,9997
pos_usd,Kapitalo Investimentos,0.304,0.6,110953
pos_usd,Kinea Investimentos,0.971,23.6,3706
pos_usd,Núcleo Capital,0.756,2.5,7866
pos_usd,Occam Brasil,0.665,1.7,65917
pos_usd,Opportunity,0.868,4.9,1519
pos_usd,Plural,0.912,7.5,2175
pos_usd,Real Investor,0.832,3.8,230
pos_usd,SPX Capital,0.863,4.7,45511
pos_usd,Safra,0.688,1.9,36273
pos_usd,Santander,0.725,2.2,103114
pos_usd,Sharp Capital,0.921,8.4,37571
pos_usd,Squadra Investimentos,0.891,6,20477
pos_usd,TNA Gestão Patrimonial,0.65,1.6,10337
pos_usd,Verde Asset Management,0.944,12.1,24526
pos_usd,Vinci Partners,0.945,12.3,49202
pos_usd,Western Asset,0.93,9.5,35415
pos_usd,XP,0.73,2.2,18855
peso,ARX Investimentos,0.772,2.7,0
peso,AZ Quest Investimentos,0.91,7.4,0
peso,Atmos Capital,0.76,2.5,0
peso,BB,0.851,4.3,0
peso,BNP Paribas,0.785,2.9,0
peso,BTG Pactual,0.781,2.8,0
peso,Bogari Capital,0.581,1.3,0
peso,Bradesco,0.788,2.9,0
peso,Caixa,0.646,1.6,0
peso,Claritas Investimentos,0.827,3.6,0
peso,Constellation Asset Management,0.926,9,0
peso,Credit Suisse,0.661,1.7,0
peso,Daycoval Asset Management,0.811,3.3,0
peso,Forpus Capital,0.276,0.5,0
peso,Guepardo Investimentos,0.981,35.3,0
peso,Gávea Investimentos,0.748,2.4,0
peso,Ibiuna Investimentos,0.739,2.3,0
peso,Itaú,0.779,2.8,0
peso,JGP,0.73,2.2,0
peso,Julius Baer Family Office,0.75,2.4,0
peso,Kapitalo Investimentos,0.499,1,0
peso,Kinea Investimentos,0.972,24.1,0
peso,Núcleo Capital,0.762,2.5,0
peso,Occam Brasil,0.929,9.3,0
peso,Opportunity,0.867,4.8,0
peso,Plural,0.923,8.6,0
peso,Real Investor,0.621,1.5,0
peso,SPX Capital,0.803,3.2,0
peso,Safra,0.73,2.2,0
peso,Santander,0.599,1.4,0
peso,Sharp Capital,0.855,4.4,0
peso,Squadra Investimentos,0.75,2.4,0
peso,TNA Gestão Patrimonial,0.575,1.3,0
peso,Verde Asset Management,0.964,19.1,0
peso,Vinci Partners,0.869,4.9,0
peso,Western Asset,0.969,22.2,0
peso,XP,0.765,2.6,0
